"",BBK01.OUE213,BBK01.OUE213_FLAGS
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,0.001,
1995-01,0.001,
1995-02,0.007,
1995-03,0.006,
1995-04,0.006,
1995-05,0.006,
1995-06,0.006,
1995-07,-,Nothing exists
1995-08,-,Nothing exists
1995-09,0.001,
1995-10,0.001,
1995-11,0.001,
1995-12,0.001,
1996-01,-,Nothing exists
1996-02,-,Nothing exists
1996-03,0.001,
1996-04,-,Nothing exists
1996-05,-,Nothing exists
1996-06,0.001,
1996-07,0.001,
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,-,Nothing exists
1997-02,0.006,
1997-03,-,Nothing exists
1997-04,0.004,
1997-05,-,Nothing exists
1997-06,-,Nothing exists
1997-07,-,Nothing exists
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,-,Nothing exists
1997-11,-,Nothing exists
1997-12,0.003,
1998-01,0.008,
1998-02,0.004,
1998-03,0.003,
1998-04,0.003,
1998-05,0.003,
1998-06,0.004,
1998-07,0.007,
1998-08,0.004,
1998-09,0.002,
1998-10,0.032,
1998-11,-,Nothing exists
1998-12,0.001,
1999-01,0.001,
1999-02,0.001,
1999-03,0.001,
1999-04,0.001,
1999-05,0.019,
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,0.001,
1999-09,0.002,
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,0.008,
2000-01,0.011,
2000-02,0.011,
2000-03,0.011,
2000-04,0.011,
2000-05,0.011,
2000-06,0.013,
2000-07,0.011,
2000-08,0.008,
2000-09,0.014,
2000-10,0.014,
2000-11,0.016,
2000-12,0.004,
2001-01,0.072,
2001-02,0.071,
2001-03,0.020,
2001-04,-,Nothing exists
2001-05,0.008,
2001-06,0.044,
2001-07,0.024,
2001-08,0.016,
2001-09,0.016,
2001-10,0.016,
2001-11,0.016,
2001-12,0.006,
2002-01,0.009,
2002-02,0.067,
2002-03,0.136,
2002-04,0.063,
2002-05,0.028,
2002-06,0.018,
2002-07,0.016,
2002-08,0.030,
2002-09,0.031,
2002-10,0.042,
2002-11,0.059,
2002-12,0.059,
2003-01,0.006,
2003-02,0.010,
2003-03,0.214,
2003-04,0.004,
2003-05,0.007,
2003-06,0.007,
2003-07,0.005,
2003-08,0.005,
2003-09,0.020,
2003-10,0.050,
2003-11,0.063,
2003-12,0.075,
2004-01,0.034,
2004-02,0.034,
2004-03,0.034,
2004-04,0.024,
2004-05,0.015,
2004-06,0.015,
2004-07,0.012,
2004-08,0.012,
2004-09,0.005,
2004-10,0.010,
2004-11,0.010,
2004-12,0.013,
2005-01,0.005,
2005-02,0.016,
2005-03,0.074,
2005-04,0.067,
2005-05,0.067,
2005-06,0.097,
2005-07,0.074,
2005-08,0.050,
2005-09,0.236,
2005-10,0.250,
2005-11,0.042,
2005-12,0.036,
2006-01,0.033,
2006-02,0.070,
2006-03,0.052,
2006-04,0.052,
2006-05,0.046,
2006-06,0.173,
2006-07,0.006,
2006-08,0.008,
2006-09,-,Nothing exists
2006-10,-,Nothing exists
2006-11,-,Nothing exists
2006-12,-,Nothing exists
2007-01,-,Nothing exists
2007-02,-,Nothing exists
2007-03,-,Nothing exists
2007-04,0.127,
2007-05,0.156,
2007-06,0.007,
2007-07,0.008,
2007-08,0.006,
2007-09,0.009,
2007-10,0.008,
2007-11,0.007,
2007-12,0.016,
2008-01,0.005,
2008-02,0.005,
2008-03,0.023,
2008-04,0.018,
2008-05,0.016,
2008-06,0.010,
2008-07,0.023,
2008-08,0.008,
2008-09,0.010,
2008-10,0.019,
2008-11,0.006,
2008-12,0.005,
2009-01,0.012,
2009-02,0.023,
2009-03,0.010,
2009-04,0.010,
2009-05,0.015,
2009-06,0.017,
2009-07,0.026,
2009-08,0.427,
2009-09,0.041,
2009-10,0.137,
2009-11,0.033,
2009-12,0.215,
2010-01,0.018,
2010-02,0.038,
2010-03,0.040,
2010-04,0.038,
2010-05,0.026,
2010-06,0.020,
2010-07,0.019,
2010-08,0.019,
2010-09,0.036,
2010-10,0.026,
2010-11,0.026,
2010-12,0.024,
2011-01,0.024,
2011-02,0.024,
2011-03,0.021,
2011-04,0.019,
2011-05,0.016,
2011-06,0.008,
2011-07,0.041,
2011-08,0.005,
2011-09,0.053,
2011-10,0.053,
2011-11,0.042,
2011-12,0.025,
2012-01,0.153,
2012-02,0.145,
2012-03,0.048,
2012-04,0.046,
2012-05,0.073,
2012-06,0.073,
2012-07,0.076,
2012-08,0.075,
2012-09,0.077,
2012-10,0.170,
2012-11,0.161,
2012-12,0.152,
2013-01,0.195,
2013-02,0.156,
2013-03,0.366,
2013-04,0.366,
2013-05,0.325,
2013-06,0.357,
2013-07,0.371,
2013-08,0.364,
2013-09,0.361,
2013-10,0.395,
2013-11,0.387,
2013-12,0.170,
2014-01,0.165,
2014-02,0.177,
2014-03,0.197,
2014-04,0.137,
2014-05,0.128,
2014-06,0.138,
2014-07,0.045,
2014-08,0.045,
2014-09,0.039,
2014-10,0.037,
2014-11,0.027,
2014-12,0.014,Provisional value
