"",BBDP1.M.DE.Y.EPG.G.GP09SA000000.I10.L,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I10.L_FLAGS
1994-09,79.9,
1994-10,80.1,
1994-11,80.5,
1994-12,80.7,
1995-01,81.0,
1995-02,81.3,
1995-03,81.5,
1995-04,81.4,
1995-05,81.4,
1995-06,81.5,
1995-07,81.3,
1995-08,81.4,
1995-09,81.5,
1995-10,81.5,
1995-11,81.4,
1995-12,81.6,
1996-01,80.4,
1996-02,80.4,
1996-03,80.3,
1996-04,80.2,
1996-05,80.3,
1996-06,80.2,
1996-07,80.1,
1996-08,80.1,
1996-09,80.4,
1996-10,80.7,
1996-11,80.8,
1996-12,80.9,
1997-01,80.9,
1997-02,81.0,
1997-03,80.9,
1997-04,81.0,
1997-05,81.2,
1997-06,81.2,
1997-07,81.4,
1997-08,81.7,
1997-09,81.7,
1997-10,81.7,
1997-11,81.7,
1997-12,81.8,
1998-01,81.6,
1998-02,81.6,
1998-03,81.6,
1998-04,81.3,
1998-05,81.3,
1998-06,81.2,
1998-07,81.1,
1998-08,81.0,
1998-09,80.9,
1998-10,80.5,
1998-11,80.1,
1998-12,80.1,
1999-01,79.7,
1999-02,79.6,
1999-03,79.6,
1999-04,79.9,
1999-05,79.8,
1999-06,80.0,
1999-07,80.3,
1999-08,80.4,
1999-09,80.5,
1999-10,80.7,
1999-11,80.8,
1999-12,80.9,
2000-01,81.3,
2000-02,81.1,
2000-03,81.2,
2000-04,81.5,
2000-05,81.8,
2000-06,82.1,
2000-07,82.7,
2000-08,83.0,
2000-09,83.7,
2000-10,84.0,
2000-11,84.6,
2000-12,84.5,
2001-01,84.8,
2001-02,84.8,
2001-03,85.0,
2001-04,85.4,
2001-05,85.6,
2001-06,85.6,
2001-07,85.2,
2001-08,85.3,
2001-09,85.4,
2001-10,84.6,
2001-11,84.6,
2001-12,84.5,
2002-01,84.6,
2002-02,84.5,
2002-03,84.8,
2002-04,84.5,
2002-05,84.5,
2002-06,84.5,
2002-07,84.4,
2002-08,84.4,
2002-09,84.5,
2002-10,84.7,
2002-11,84.7,
2002-12,85.1,
2003-01,85.9,
2003-02,86.1,
2003-03,86.2,
2003-04,85.8,
2003-05,85.7,
2003-06,85.6,
2003-07,85.8,
2003-08,86.0,
2003-09,86.1,
2003-10,86.1,
2003-11,86.4,
2003-12,86.6,
2004-01,85.9,
2004-02,86.0,
2004-03,86.3,
2004-04,86.7,
2004-05,87.1,
2004-06,87.0,
2004-07,87.5,
2004-08,87.9,
2004-09,88.0,
2004-10,88.9,
2004-11,88.8,
2004-12,89.1,
2005-01,89.5,
2005-02,89.8,
2005-03,90.1,
2005-04,90.5,
2005-05,90.4,
2005-06,90.8,
2005-07,91.3,
2005-08,91.7,
2005-09,92.0,
2005-10,92.6,
2005-11,92.8,
2005-12,93.3,
2006-01,94.5,
2006-02,95.0,
2006-03,95.3,
2006-04,96.0,
2006-05,96.1,
2006-06,96.1,
2006-07,96.6,
2006-08,97.1,
2006-09,96.7,
2006-10,96.7,
2006-11,96.9,
2006-12,97.2,
2007-01,97.0,
2007-02,97.0,
2007-03,96.8,
2007-04,96.7,
2007-05,97.2,
2007-06,97.2,
2007-07,97.1,
2007-08,97.2,
2007-09,97.3,
2007-10,97.9,
2007-11,99.0,
2007-12,99.1,
2008-01,99.6,
2008-02,100.1,
2008-03,100.5,
2008-04,101.3,
2008-05,102.3,
2008-06,103.3,
2008-07,105.0,
2008-08,104.7,
2008-09,105.0,
2008-10,105.0,
2008-11,103.6,
2008-12,103.1,
2009-01,101.5,
2009-02,100.9,
2009-03,100.1,
2009-04,98.5,
2009-05,98.6,
2009-06,98.4,
2009-07,97.0,
2009-08,97.5,
2009-09,97.1,
2009-10,97.1,
2009-11,97.5,
2009-12,97.6,
2010-01,98.0,
2010-02,97.9,
2010-03,98.3,
2010-04,99.1,
2010-05,99.6,
2010-06,100.2,
2010-07,100.6,
2010-08,100.6,
2010-09,100.9,
2010-10,101.1,
2010-11,101.5,
2010-12,102.1,
2011-01,103.2,
2011-02,103.8,
2011-03,104.4,
2011-04,105.2,
2011-05,105.2,
2011-06,105.3,
2011-07,105.9,
2011-08,105.8,
2011-09,106.0,
2011-10,106.2,
2011-11,106.2,
2011-12,105.7,
2012-01,106.2,
2012-02,106.5,
2012-03,107.1,
2012-04,107.2,
2012-05,106.9,
2012-06,106.6,
2012-07,106.5,
2012-08,107.0,
2012-09,107.3,
2012-10,107.4,
2012-11,107.5,
2012-12,107.2,
2013-01,107.8,
2013-02,107.5,
2013-03,107.2,
2013-04,107.0,
2013-05,106.8,
2013-06,106.6,
2013-07,106.5,
2013-08,106.5,
2013-09,106.8,
2013-10,106.6,
2013-11,106.6,
2013-12,106.7,
2014-01,106.6,
2014-02,106.5,
2014-03,106.2,
2014-04,106.0,
2014-05,105.8,
2014-06,105.8,
2014-07,105.7,
2014-08,105.7,
2014-09,105.7,
2014-10,105.5,
2014-11,105.6,
2014-12,105.0,
2015-01,104.3,
