"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.DE.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.DE.00000.F05100.Z01.00_FLAGS
2011-02,47692,
2011-03,47788,
2011-04,50622,
2011-05,50569,
2011-06,50643,
2011-07,52128,
2011-08,43026,
2011-09,40821,
2011-10,45922,
2011-11,44758,
2011-12,44053,
2012-01,47864,
2012-02,50713,
2012-03,51331,
2012-04,47007,
2012-05,46000,
2012-06,45843,
2012-07,48573,
2012-08,49249,
2012-09,50583,
2012-10,50507,
2012-11,51426,
2012-12,53038,
2013-01,53734,
2013-02,53772,
2013-03,53792,
2013-04,53430,
2013-05,55763,
2013-06,53113,
2013-07,55244,
2013-08,53830,
2013-09,56512,
2013-10,59336,
2013-11,61791,
2013-12,62678,
2014-01,60335,
2014-02,62602,
2014-03,61634,
2014-04,61643,
2014-05,62885,
2014-06,61976,
2014-07,58995,
2014-08,59559,
2014-09,56227,
2014-10,54716,
2014-11,55904,
