"",BBK01.WT4026,BBK01.WT4026_FLAGS
2011-05-23,1.57,
2011-05-24,1.58,
2011-05-25,1.53,
2011-05-26,1.55,
2011-05-27,1.46,
2011-05-28,.,No value available
2011-05-29,.,No value available
2011-05-30,1.46,
2011-05-31,1.52,
2011-06-01,1.51,
2011-06-02,1.51,
2011-06-03,1.54,
2011-06-04,.,No value available
2011-06-05,.,No value available
2011-06-06,1.56,
2011-06-07,1.56,
2011-06-08,1.58,
2011-06-09,1.55,
2011-06-10,1.48,
2011-06-11,.,No value available
2011-06-12,.,No value available
2011-06-13,1.44,
2011-06-14,1.46,
2011-06-15,1.48,
2011-06-16,1.39,
2011-06-17,1.41,
2011-06-18,.,No value available
2011-06-19,.,No value available
2011-06-20,1.39,
2011-06-21,1.43,
2011-06-22,1.43,
2011-06-23,1.39,
2011-06-24,1.34,
2011-06-25,.,No value available
2011-06-26,.,No value available
2011-06-27,1.32,
2011-06-28,1.35,
2011-06-29,1.44,
2011-06-30,1.47,
2011-07-01,1.53,
2011-07-02,.,No value available
2011-07-03,.,No value available
2011-07-04,1.55,
2011-07-05,1.54,
2011-07-06,1.49,
2011-07-07,1.51,
2011-07-08,1.48,
2011-07-09,.,No value available
2011-07-10,.,No value available
2011-07-11,1.37,
2011-07-12,1.16,
2011-07-13,1.25,
2011-07-14,1.24,
2011-07-15,1.19,
2011-07-16,.,No value available
2011-07-17,.,No value available
2011-07-18,1.18,
2011-07-19,1.21,
2011-07-20,1.21,
2011-07-21,1.25,
2011-07-22,1.35,
2011-07-23,.,No value available
2011-07-24,.,No value available
2011-07-25,1.31,
2011-07-26,1.28,
2011-07-27,1.26,
2011-07-28,1.20,
2011-07-29,1.18,
2011-07-30,.,No value available
2011-07-31,.,No value available
2011-08-01,1.18,
2011-08-02,1.07,
2011-08-03,1.05,
2011-08-04,1.08,
2011-08-05,0.85,
2011-08-06,.,No value available
2011-08-07,.,No value available
2011-08-08,0.79,
2011-08-09,0.67,
2011-08-10,0.68,
2011-08-11,0.56,
2011-08-12,0.66,
2011-08-13,.,No value available
2011-08-14,.,No value available
2011-08-15,0.70,
2011-08-16,0.68,
2011-08-17,0.68,
2011-08-18,0.62,
2011-08-19,0.58,
2011-08-20,.,No value available
2011-08-21,.,No value available
2011-08-22,0.62,
2011-08-23,0.62,
2011-08-24,0.64,
2011-08-25,0.67,
2011-08-26,0.58,
2011-08-27,.,No value available
2011-08-28,.,No value available
2011-08-29,0.59,
2011-08-30,0.62,
2011-08-31,0.62,
2011-09-01,0.60,
2011-09-02,0.52,
2011-09-03,.,No value available
2011-09-04,.,No value available
2011-09-05,0.44,
2011-09-06,0.42,
2011-09-07,0.42,
2011-09-08,0.43,
2011-09-09,0.34,
2011-09-10,.,No value available
2011-09-11,.,No value available
2011-09-12,0.30,
2011-09-13,0.36,
2011-09-14,0.43,
2011-09-15,0.51,
2011-09-16,0.50,
2011-09-17,.,No value available
2011-09-18,.,No value available
2011-09-19,0.40,
2011-09-20,0.39,
2011-09-21,0.38,
2011-09-22,0.34,
2011-09-23,0.32,
2011-09-24,.,No value available
2011-09-25,.,No value available
2011-09-26,0.32,
2011-09-27,0.40,
2011-09-28,0.49,
2011-09-29,0.46,
2011-09-30,0.47,
2011-10-01,.,No value available
2011-10-02,.,No value available
2011-10-03,0.39,
2011-10-04,0.38,
2011-10-05,0.38,
2011-10-06,0.39,
2011-10-07,0.49,
2011-10-08,.,No value available
2011-10-09,.,No value available
2011-10-10,0.50,
2011-10-11,0.51,
2011-10-12,0.56,
2011-10-13,0.55,
2011-10-14,0.55,
2011-10-15,.,No value available
2011-10-16,.,No value available
2011-10-17,0.55,
2011-10-18,0.46,
2011-10-19,0.51,
2011-10-20,0.51,
2011-10-21,0.48,
2011-10-22,.,No value available
2011-10-23,.,No value available
2011-10-24,0.49,
2011-10-25,0.50,
2011-10-26,0.43,
2011-10-27,0.44,
2011-10-28,0.54,
2011-10-29,.,No value available
2011-10-30,.,No value available
2011-10-31,0.48,
2011-11-01,0.38,
2011-11-02,0.38,
2011-11-03,0.36,
2011-11-04,0.31,
2011-11-05,.,No value available
2011-11-06,.,No value available
2011-11-07,0.30,
2011-11-08,0.31,
2011-11-09,0.29,
2011-11-10,0.27,
2011-11-11,0.27,
2011-11-12,.,No value available
2011-11-13,.,No value available
2011-11-14,0.25,
2011-11-15,0.22,
2011-11-16,0.25,
2011-11-17,0.25,
2011-11-18,0.29,
2011-11-19,.,No value available
2011-11-20,.,No value available
2011-11-21,0.26,
2011-11-22,0.26,
2011-11-23,0.27,
2011-11-24,0.27,
2011-11-25,0.25,
2011-11-26,.,No value available
2011-11-27,.,No value available
2011-11-28,0.23,
2011-11-29,0.13,
2011-11-30,0.00,
2011-12-01,-0.01,
2011-12-02,0.02,
2011-12-03,.,No value available
2011-12-04,.,No value available
2011-12-05,0.09,
2011-12-06,0.08,
2011-12-07,0.07,
2011-12-08,0.06,
2011-12-09,0.07,
2011-12-10,.,No value available
2011-12-11,.,No value available
2011-12-12,0.06,
2011-12-13,0.08,
2011-12-14,0.04,
2011-12-15,0.03,
2011-12-16,0.02,
2011-12-17,.,No value available
2011-12-18,.,No value available
2011-12-19,0.03,
2011-12-20,0.03,
2011-12-21,0.02,
2011-12-22,0.03,
2011-12-23,-0.01,
2011-12-24,.,No value available
2011-12-25,.,No value available
2011-12-26,.,No value available
2011-12-27,-0.04,
2011-12-28,-0.06,
2011-12-29,-0.06,
2011-12-30,-0.08,
2011-12-31,.,No value available
2012-01-01,.,No value available
2012-01-02,-0.07,
2012-01-03,-0.06,
2012-01-04,-0.07,
2012-01-05,-0.09,
2012-01-06,-0.07,
2012-01-07,.,No value available
2012-01-08,.,No value available
2012-01-09,-0.08,
2012-01-10,-0.04,
2012-01-11,-0.01,
2012-01-12,-0.01,
2012-01-13,0.05,
2012-01-14,.,No value available
2012-01-15,.,No value available
2012-01-16,0.06,
2012-01-17,0.08,
2012-01-18,0.08,
2012-01-19,0.08,
2012-01-20,0.07,
2012-01-21,.,No value available
2012-01-22,.,No value available
2012-01-23,0.07,
2012-01-24,0.10,
2012-01-25,0.11,
2012-01-26,0.09,
2012-01-27,0.10,
2012-01-28,.,No value available
2012-01-29,.,No value available
2012-01-30,0.08,
2012-01-31,0.08,
2012-02-01,0.08,
2012-02-02,0.09,
2012-02-03,0.10,
2012-02-04,.,No value available
2012-02-05,.,No value available
2012-02-06,0.09,
2012-02-07,0.09,
2012-02-08,0.11,
2012-02-09,0.12,
2012-02-10,0.13,
2012-02-11,.,No value available
2012-02-12,.,No value available
2012-02-13,0.14,
2012-02-14,0.15,
2012-02-15,0.15,
2012-02-16,0.13,
2012-02-17,0.12,
2012-02-18,.,No value available
2012-02-19,.,No value available
2012-02-20,0.12,
2012-02-21,0.13,
2012-02-22,0.13,
2012-02-23,0.14,
2012-02-24,0.14,
2012-02-25,.,No value available
2012-02-26,.,No value available
2012-02-27,0.12,
2012-02-28,0.12,
2012-02-29,0.13,
2012-03-01,0.09,
2012-03-02,0.08,
2012-03-03,.,No value available
2012-03-04,.,No value available
2012-03-05,0.09,
2012-03-06,0.09,
2012-03-07,0.09,
2012-03-08,0.08,
2012-03-09,0.09,
2012-03-10,.,No value available
2012-03-11,.,No value available
2012-03-12,0.09,
2012-03-13,0.09,
2012-03-14,0.10,
2012-03-15,0.10,
2012-03-16,0.09,
2012-03-17,.,No value available
2012-03-18,.,No value available
2012-03-19,0.10,
2012-03-20,0.08,
2012-03-21,0.08,
2012-03-22,0.08,
2012-03-23,0.08,
2012-03-24,.,No value available
2012-03-25,.,No value available
2012-03-26,0.08,
2012-03-27,0.08,
2012-03-28,0.09,
2012-03-29,0.08,
2012-03-30,0.08,
2012-03-31,.,No value available
2012-04-01,.,No value available
2012-04-02,0.08,
2012-04-03,0.08,
2012-04-04,0.09,
2012-04-05,0.08,
2012-04-06,.,No value available
2012-04-07,.,No value available
2012-04-08,.,No value available
2012-04-09,.,No value available
2012-04-10,0.08,
2012-04-11,0.07,
2012-04-12,0.05,
2012-04-13,0.04,
2012-04-14,.,No value available
2012-04-15,.,No value available
2012-04-16,0.04,
2012-04-17,0.05,
2012-04-18,0.05,
2012-04-19,0.04,
2012-04-20,0.06,
2012-04-21,.,No value available
2012-04-22,.,No value available
2012-04-23,0.05,
2012-04-24,0.04,
2012-04-25,0.04,
2012-04-26,0.04,
2012-04-27,0.04,
2012-04-28,.,No value available
2012-04-29,.,No value available
2012-04-30,0.04,
2012-05-01,.,No value available
2012-05-02,0.03,
2012-05-03,0.03,
2012-05-04,0.03,
2012-05-05,.,No value available
2012-05-06,.,No value available
2012-05-07,0.05,
2012-05-08,0.04,
2012-05-09,0.05,
2012-05-10,0.06,
2012-05-11,0.05,
2012-05-12,.,No value available
2012-05-13,.,No value available
2012-05-14,0.05,
2012-05-15,0.04,
2012-05-16,0.03,
2012-05-17,0.04,
2012-05-18,0.01,
2012-05-19,.,No value available
2012-05-20,.,No value available
2012-05-21,0.01,
2012-05-22,0.01,
2012-05-23,0.03,
2012-05-24,0.02,
2012-05-25,0.02,
2012-05-26,.,No value available
2012-05-27,.,No value available
2012-05-28,0.01,
2012-05-29,0.01,
2012-05-30,0.01,
2012-05-31,-0.01,
2012-06-01,0.00,
2012-06-02,.,No value available
2012-06-03,.,No value available
2012-06-04,-0.01,
2012-06-05,-0.01,
2012-06-06,0.00,
2012-06-07,0.03,
2012-06-08,0.01,
2012-06-09,.,No value available
2012-06-10,.,No value available
2012-06-11,0.01,
2012-06-12,0.00,
2012-06-13,-0.01,
2012-06-14,0.00,
2012-06-15,-0.02,
2012-06-16,.,No value available
2012-06-17,.,No value available
2012-06-18,-0.02,
2012-06-19,-0.03,
2012-06-20,0.00,
2012-06-21,-0.01,
2012-06-22,-0.01,
2012-06-23,.,No value available
2012-06-24,.,No value available
2012-06-25,0.00,
2012-06-26,-0.01,
2012-06-27,-0.01,
2012-06-28,-0.01,
2012-06-29,-0.02,
2012-06-30,.,No value available
2012-07-01,.,No value available
2012-07-02,-0.01,
2012-07-03,-0.01,
2012-07-04,-0.02,
2012-07-05,-0.03,
2012-07-06,-0.08,
2012-07-07,.,No value available
2012-07-08,.,No value available
2012-07-09,-0.07,
2012-07-10,-0.04,
2012-07-11,-0.02,
2012-07-12,-0.04,
2012-07-13,-0.04,
2012-07-14,.,No value available
2012-07-15,.,No value available
2012-07-16,-0.03,
2012-07-17,-0.05,
2012-07-18,-0.06,
2012-07-19,-0.07,
2012-07-20,-0.07,
2012-07-21,.,No value available
2012-07-22,.,No value available
2012-07-23,-0.07,
2012-07-24,-0.06,
2012-07-25,-0.05,
2012-07-26,-0.05,
2012-07-27,-0.06,
2012-07-28,.,No value available
2012-07-29,.,No value available
2012-07-30,-0.09,
2012-07-31,-0.07,
2012-08-01,-0.07,
2012-08-02,-0.09,
2012-08-03,-0.07,
2012-08-04,.,No value available
2012-08-05,.,No value available
2012-08-06,-0.07,
2012-08-07,-0.07,
2012-08-08,-0.06,
2012-08-09,-0.07,
2012-08-10,-0.07,
2012-08-11,.,No value available
2012-08-12,.,No value available
2012-08-13,-0.07,
2012-08-14,-0.07,
2012-08-15,-0.06,
2012-08-16,-0.04,
2012-08-17,-0.05,
2012-08-18,.,No value available
2012-08-19,.,No value available
2012-08-20,-0.04,
2012-08-21,-0.05,
2012-08-22,-0.05,
2012-08-23,-0.06,
2012-08-24,-0.03,
2012-08-25,.,No value available
2012-08-26,.,No value available
2012-08-27,-0.04,
2012-08-28,-0.04,
2012-08-29,-0.03,
2012-08-30,-0.04,
2012-08-31,-0.03,
2012-09-01,.,No value available
2012-09-02,.,No value available
2012-09-03,-0.02,
2012-09-04,-0.02,
2012-09-05,-0.05,
2012-09-06,-0.02,
2012-09-07,-0.05,
2012-09-08,.,No value available
2012-09-09,.,No value available
2012-09-10,-0.02,
2012-09-11,-0.05,
2012-09-12,-0.01,
2012-09-13,-0.02,
2012-09-14,-0.07,
2012-09-15,.,No value available
2012-09-16,.,No value available
2012-09-17,-0.08,
2012-09-18,-0.05,
2012-09-19,-0.07,
2012-09-20,-0.06,
2012-09-21,-0.07,
2012-09-22,.,No value available
2012-09-23,.,No value available
2012-09-24,-0.09,
2012-09-25,-0.06,
2012-09-26,-0.07,
2012-09-27,-0.04,
2012-09-28,-0.05,
2012-09-29,.,No value available
2012-09-30,.,No value available
2012-10-01,-0.04,
2012-10-02,-0.01,
2012-10-03,0.00,
2012-10-04,-0.04,
2012-10-05,-0.01,
2012-10-06,.,No value available
2012-10-07,.,No value available
2012-10-08,-0.01,
2012-10-09,0.00,
2012-10-10,0.04,
2012-10-11,-0.04,
2012-10-12,-0.02,
2012-10-13,.,No value available
2012-10-14,.,No value available
2012-10-15,-0.04,
2012-10-16,-0.06,
2012-10-17,-0.01,
2012-10-18,-0.07,
2012-10-19,-0.06,
2012-10-20,.,No value available
2012-10-21,.,No value available
2012-10-22,-0.04,
2012-10-23,-0.06,
2012-10-24,-0.08,
2012-10-25,-0.07,
2012-10-26,-0.06,
2012-10-27,.,No value available
2012-10-28,.,No value available
2012-10-29,0.00,
2012-10-30,0.02,
2012-10-31,0.00,
2012-11-01,-0.03,
2012-11-02,-0.06,
2012-11-03,.,No value available
2012-11-04,.,No value available
2012-11-05,-0.04,
2012-11-06,0.03,
2012-11-07,0.01,
2012-11-08,-0.03,
2012-11-09,0.00,
2012-11-10,.,No value available
2012-11-11,.,No value available
2012-11-12,0.02,
2012-11-13,-0.01,
2012-11-14,0.02,
2012-11-15,-0.02,
2012-11-16,-0.07,
2012-11-17,.,No value available
2012-11-18,.,No value available
2012-11-19,-0.03,
2012-11-20,0.00,
2012-11-21,-0.05,
2012-11-22,-0.12,
2012-11-23,-0.08,
2012-11-24,.,No value available
2012-11-25,.,No value available
2012-11-26,-0.03,
2012-11-27,0.02,
2012-11-28,-0.05,
2012-11-29,0.00,
2012-11-30,-0.10,
2012-12-01,.,No value available
2012-12-02,.,No value available
2012-12-03,0.18,
2012-12-04,0.08,
2012-12-05,-0.05,
2012-12-06,-0.19,
2012-12-07,-0.22,
2012-12-08,.,No value available
2012-12-09,.,No value available
2012-12-10,-0.82,
2012-12-11,-0.82,
"",General: BSA = Federal Treasury note (Schatz),
