"",BBEX3.D.RWF.USD.CA.AB.000,BBEX3.D.RWF.USD.CA.AB.000_FLAGS
2005-04-20,.,No value available
2005-04-21,.,No value available
2005-04-22,.,No value available
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,.,No value available
2005-04-26,.,No value available
2005-04-27,.,No value available
2005-04-28,.,No value available
2005-04-29,562.282425,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,.,No value available
2005-05-03,.,No value available
2005-05-04,.,No value available
2005-05-05,.,No value available
2005-05-06,.,No value available
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,.,No value available
2005-05-10,.,No value available
2005-05-11,.,No value available
2005-05-12,.,No value available
2005-05-13,561.369785,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,.,No value available
2005-05-17,.,No value available
2005-05-18,.,No value available
2005-05-19,.,No value available
2005-05-20,.,No value available
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,.,No value available
2005-05-24,.,No value available
2005-05-25,.,No value available
2005-05-26,.,No value available
2005-05-27,.,No value available
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,.,No value available
2005-05-31,560.790000,
2005-06-01,.,No value available
2005-06-02,.,No value available
2005-06-03,.,No value available
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,.,No value available
2005-06-07,.,No value available
2005-06-08,.,No value available
2005-06-09,.,No value available
2005-06-10,.,No value available
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,.,No value available
2005-06-14,.,No value available
2005-06-15,560.306595,
2005-06-16,.,No value available
2005-06-17,.,No value available
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,.,No value available
2005-06-21,.,No value available
2005-06-22,.,No value available
2005-06-23,.,No value available
2005-06-24,.,No value available
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,.,No value available
2005-06-28,.,No value available
2005-06-29,.,No value available
2005-06-30,559.329735,
2005-07-01,.,No value available
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,.,No value available
2005-07-05,.,No value available
2005-07-06,.,No value available
2005-07-07,.,No value available
2005-07-08,.,No value available
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,.,No value available
2005-07-12,.,No value available
2005-07-13,.,No value available
2005-07-14,.,No value available
2005-07-15,558.150267,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,.,No value available
2005-07-19,.,No value available
2005-07-20,.,No value available
2005-07-21,.,No value available
2005-07-22,.,No value available
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,.,No value available
2005-07-26,.,No value available
2005-07-27,.,No value available
2005-07-28,.,No value available
2005-07-29,556.264586,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,.,No value available
2005-08-02,.,No value available
2005-08-03,.,No value available
2005-08-04,.,No value available
2005-08-05,.,No value available
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,.,No value available
2005-08-09,.,No value available
2005-08-10,.,No value available
2005-08-11,.,No value available
2005-08-12,.,No value available
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,557.397120,
2005-08-17,.,No value available
2005-08-18,.,No value available
2005-08-19,.,No value available
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,.,No value available
2005-08-23,.,No value available
2005-08-24,.,No value available
2005-08-25,.,No value available
2005-08-26,.,No value available
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,.,No value available
2005-08-30,.,No value available
2005-08-31,558.299912,
2005-09-01,.,No value available
2005-09-02,.,No value available
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,.,No value available
2005-09-06,.,No value available
2005-09-07,.,No value available
2005-09-08,.,No value available
2005-09-09,.,No value available
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,.,No value available
2005-09-13,.,No value available
2005-09-14,556.060671,
2005-09-15,.,No value available
2005-09-16,.,No value available
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,.,No value available
2005-09-20,.,No value available
2005-09-21,.,No value available
2005-09-22,.,No value available
2005-09-23,.,No value available
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,.,No value available
2005-09-27,.,No value available
2005-09-28,.,No value available
2005-09-29,.,No value available
2005-09-30,557.065269,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,.,No value available
2005-10-04,.,No value available
2005-10-05,.,No value available
2005-10-06,.,No value available
2005-10-07,.,No value available
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,.,No value available
2005-10-11,.,No value available
2005-10-12,.,No value available
2005-10-13,.,No value available
2005-10-14,558.332273,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,.,No value available
2005-10-18,.,No value available
2005-10-19,.,No value available
2005-10-20,.,No value available
2005-10-21,.,No value available
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,.,No value available
2005-10-25,.,No value available
2005-10-26,.,No value available
2005-10-27,.,No value available
2005-10-28,.,No value available
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,556.615532,
2005-11-01,.,No value available
2005-11-02,.,No value available
2005-11-03,.,No value available
2005-11-04,.,No value available
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,.,No value available
2005-11-08,.,No value available
2005-11-09,.,No value available
2005-11-10,.,No value available
2005-11-11,.,No value available
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,.,No value available
2005-11-15,556.815828,
2005-11-16,.,No value available
2005-11-17,.,No value available
2005-11-18,.,No value available
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,.,No value available
2005-11-22,.,No value available
2005-11-23,.,No value available
2005-11-24,.,No value available
2005-11-25,.,No value available
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,.,No value available
2005-11-29,.,No value available
2005-11-30,556.390010,
2005-12-01,.,No value available
2005-12-02,.,No value available
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,.,No value available
2005-12-06,.,No value available
2005-12-07,.,No value available
2005-12-08,.,No value available
2005-12-09,.,No value available
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,.,No value available
2005-12-13,.,No value available
2005-12-14,.,No value available
2005-12-15,556.480862,
2005-12-16,.,No value available
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,.,No value available
2005-12-20,.,No value available
2005-12-21,.,No value available
2005-12-22,.,No value available
2005-12-23,.,No value available
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,.,No value available
2005-12-28,.,No value available
2005-12-29,.,No value available
2005-12-30,556.487294,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,.,No value available
2006-01-03,.,No value available
2006-01-04,.,No value available
2006-01-05,.,No value available
2006-01-06,.,No value available
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,.,No value available
2006-01-10,.,No value available
2006-01-11,.,No value available
2006-01-12,.,No value available
2006-01-13,.,No value available
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,557.490384,
2006-01-17,.,No value available
2006-01-18,.,No value available
2006-01-19,.,No value available
2006-01-20,.,No value available
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,.,No value available
2006-01-24,.,No value available
2006-01-25,.,No value available
2006-01-26,.,No value available
2006-01-27,.,No value available
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,557.833190,
2006-01-31,.,No value available
2006-02-01,.,No value available
2006-02-02,.,No value available
2006-02-03,.,No value available
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,.,No value available
2006-02-07,.,No value available
2006-02-08,.,No value available
2006-02-09,.,No value available
2006-02-10,.,No value available
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,.,No value available
2006-02-14,.,No value available
2006-02-15,555.394658,
2006-02-16,.,No value available
2006-02-17,.,No value available
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,.,No value available
2006-02-21,.,No value available
2006-02-22,.,No value available
2006-02-23,.,No value available
2006-02-24,.,No value available
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,.,No value available
2006-02-28,556.784070,
2006-03-01,.,No value available
2006-03-02,.,No value available
2006-03-03,.,No value available
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,.,No value available
2006-03-07,.,No value available
2006-03-08,.,No value available
2006-03-09,.,No value available
2006-03-10,.,No value available
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,.,No value available
2006-03-14,.,No value available
2006-03-15,555.942483,
2006-03-16,.,No value available
2006-03-17,.,No value available
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,.,No value available
2006-03-21,.,No value available
2006-03-22,.,No value available
2006-03-23,.,No value available
2006-03-24,.,No value available
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,.,No value available
2006-03-28,.,No value available
2006-03-29,.,No value available
2006-03-30,555.507620,
2006-03-31,.,No value available
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,.,No value available
2006-04-04,.,No value available
2006-04-05,.,No value available
2006-04-06,.,No value available
2006-04-07,.,No value available
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,.,No value available
2006-04-11,.,No value available
2006-04-12,.,No value available
2006-04-13,554.492871,
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,.,No value available
2006-04-18,.,No value available
2006-04-19,.,No value available
2006-04-20,.,No value available
2006-04-21,.,No value available
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,.,No value available
2006-04-25,.,No value available
2006-04-26,.,No value available
2006-04-27,.,No value available
2006-04-28,555.192050,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,.,No value available
2006-05-03,.,No value available
2006-05-04,.,No value available
2006-05-05,.,No value available
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,.,No value available
2006-05-09,.,No value available
2006-05-10,.,No value available
2006-05-11,.,No value available
2006-05-12,.,No value available
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,554.250164,
2006-05-16,.,No value available
2006-05-17,.,No value available
2006-05-18,.,No value available
2006-05-19,.,No value available
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,.,No value available
2006-05-23,.,No value available
2006-05-24,.,No value available
2006-05-25,.,No value available
2006-05-26,.,No value available
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,.,No value available
2006-05-30,.,No value available
2006-05-31,554.453475,
2006-06-01,.,No value available
2006-06-02,.,No value available
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,.,No value available
2006-06-06,.,No value available
2006-06-07,.,No value available
2006-06-08,.,No value available
2006-06-09,.,No value available
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,.,No value available
2006-06-13,.,No value available
2006-06-14,.,No value available
2006-06-15,554.856581,
2006-06-16,.,No value available
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,.,No value available
2006-06-20,.,No value available
2006-06-21,.,No value available
2006-06-22,.,No value available
2006-06-23,.,No value available
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,.,No value available
2006-06-27,.,No value available
2006-06-28,.,No value available
2006-06-29,.,No value available
2006-06-30,554.768844,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,.,No value available
2006-07-04,.,No value available
2006-07-05,.,No value available
2006-07-06,.,No value available
2006-07-07,.,No value available
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,.,No value available
2006-07-11,.,No value available
2006-07-12,.,No value available
2006-07-13,.,No value available
2006-07-14,554.206949,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,.,No value available
2006-07-18,.,No value available
2006-07-19,.,No value available
2006-07-20,.,No value available
2006-07-21,.,No value available
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,.,No value available
2006-07-25,.,No value available
2006-07-26,.,No value available
2006-07-27,.,No value available
2006-07-28,.,No value available
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,555.257877,
2006-08-01,.,No value available
2006-08-02,.,No value available
2006-08-03,.,No value available
2006-08-04,.,No value available
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,.,No value available
2006-08-08,.,No value available
2006-08-09,.,No value available
2006-08-10,.,No value available
2006-08-11,.,No value available
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,554.626436,
2006-08-15,.,No value available
2006-08-16,.,No value available
2006-08-17,.,No value available
2006-08-18,.,No value available
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,.,No value available
2006-08-22,.,No value available
2006-08-23,.,No value available
2006-08-24,.,No value available
2006-08-25,.,No value available
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,.,No value available
2006-08-29,.,No value available
2006-08-30,.,No value available
2006-08-31,554.279711,
2006-09-01,.,No value available
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,.,No value available
2006-09-05,.,No value available
2006-09-06,.,No value available
2006-09-07,.,No value available
2006-09-08,.,No value available
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,.,No value available
2006-09-12,.,No value available
2006-09-13,.,No value available
2006-09-14,.,No value available
2006-09-15,553.389381,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,.,No value available
2006-09-19,.,No value available
2006-09-20,.,No value available
2006-09-21,.,No value available
2006-09-22,.,No value available
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,.,No value available
2006-09-26,.,No value available
2006-09-27,.,No value available
2006-09-28,.,No value available
2006-09-29,552.601797,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,.,No value available
2006-10-03,.,No value available
2006-10-04,.,No value available
2006-10-05,.,No value available
2006-10-06,.,No value available
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,.,No value available
2006-10-10,.,No value available
2006-10-11,.,No value available
2006-10-12,.,No value available
2006-10-13,.,No value available
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,552.552266,
2006-10-17,.,No value available
2006-10-18,.,No value available
2006-10-19,.,No value available
2006-10-20,.,No value available
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,.,No value available
2006-10-24,.,No value available
2006-10-25,.,No value available
2006-10-26,.,No value available
2006-10-27,.,No value available
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,.,No value available
2006-10-31,553.456666,
2006-11-01,.,No value available
2006-11-02,.,No value available
2006-11-03,.,No value available
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,.,No value available
2006-11-07,.,No value available
2006-11-08,.,No value available
2006-11-09,.,No value available
2006-11-10,.,No value available
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,.,No value available
2006-11-14,.,No value available
2006-11-15,552.764472,
2006-11-16,.,No value available
2006-11-17,.,No value available
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,.,No value available
2006-11-21,.,No value available
2006-11-22,.,No value available
2006-11-23,.,No value available
2006-11-24,.,No value available
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,.,No value available
2006-11-28,.,No value available
2006-11-29,.,No value available
2006-11-30,553.428023,
2006-12-01,.,No value available
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,.,No value available
2006-12-05,.,No value available
2006-12-06,.,No value available
2006-12-07,.,No value available
2006-12-08,.,No value available
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,.,No value available
2006-12-12,.,No value available
2006-12-13,.,No value available
2006-12-14,.,No value available
2006-12-15,552.450571,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,.,No value available
2006-12-19,.,No value available
2006-12-20,.,No value available
2006-12-21,.,No value available
2006-12-22,.,No value available
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,.,No value available
2006-12-27,.,No value available
2006-12-28,.,No value available
2006-12-29,551.395612,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,.,No value available
2007-01-03,.,No value available
2007-01-04,.,No value available
2007-01-05,.,No value available
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,.,No value available
2007-01-09,.,No value available
2007-01-10,.,No value available
2007-01-11,.,No value available
2007-01-12,.,No value available
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,552.124455,
2007-01-16,.,No value available
2007-01-17,.,No value available
2007-01-18,.,No value available
2007-01-19,.,No value available
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,.,No value available
2007-01-23,.,No value available
2007-01-24,.,No value available
2007-01-25,.,No value available
2007-01-26,.,No value available
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,.,No value available
2007-01-30,.,No value available
2007-01-31,552.145753,
2007-02-01,.,No value available
2007-02-02,.,No value available
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,.,No value available
2007-02-06,.,No value available
2007-02-07,.,No value available
2007-02-08,.,No value available
2007-02-09,.,No value available
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,.,No value available
2007-02-13,.,No value available
2007-02-14,.,No value available
2007-02-15,551.665099,
2007-02-16,.,No value available
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,.,No value available
2007-02-20,.,No value available
2007-02-21,.,No value available
2007-02-22,.,No value available
2007-02-23,.,No value available
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,.,No value available
2007-02-27,.,No value available
2007-02-28,551.027130,
2007-03-01,.,No value available
2007-03-02,.,No value available
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,.,No value available
2007-03-06,.,No value available
2007-03-07,.,No value available
2007-03-08,.,No value available
2007-03-09,.,No value available
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,.,No value available
2007-03-13,.,No value available
2007-03-14,.,No value available
2007-03-15,549.980660,
2007-03-16,.,No value available
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,.,No value available
2007-03-20,.,No value available
2007-03-21,.,No value available
2007-03-22,.,No value available
2007-03-23,.,No value available
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,.,No value available
2007-03-27,.,No value available
2007-03-28,.,No value available
2007-03-29,.,No value available
2007-03-30,549.751466,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,.,No value available
2007-04-03,.,No value available
2007-04-04,.,No value available
2007-04-05,.,No value available
2007-04-06,.,No value available
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,.,No value available
2007-04-10,.,No value available
2007-04-11,.,No value available
2007-04-12,.,No value available
2007-04-13,549.679959,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,.,No value available
2007-04-17,.,No value available
2007-04-18,.,No value available
2007-04-19,.,No value available
2007-04-20,.,No value available
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,.,No value available
2007-04-24,.,No value available
2007-04-25,.,No value available
2007-04-26,.,No value available
2007-04-27,.,No value available
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,549.377807,
2007-05-01,.,No value available
2007-05-02,.,No value available
2007-05-03,.,No value available
2007-05-04,.,No value available
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,.,No value available
2007-05-08,.,No value available
2007-05-09,.,No value available
2007-05-10,.,No value available
2007-05-11,.,No value available
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,.,No value available
2007-05-15,549.474836,
2007-05-16,.,No value available
2007-05-17,.,No value available
2007-05-18,.,No value available
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,.,No value available
2007-05-22,.,No value available
2007-05-23,.,No value available
2007-05-24,.,No value available
2007-05-25,.,No value available
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,.,No value available
2007-05-29,.,No value available
2007-05-30,.,No value available
2007-05-31,548.406615,
2007-06-01,.,No value available
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,.,No value available
2007-06-05,.,No value available
2007-06-06,.,No value available
2007-06-07,.,No value available
2007-06-08,.,No value available
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,.,No value available
2007-06-12,.,No value available
2007-06-13,.,No value available
2007-06-14,.,No value available
2007-06-15,548.751069,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,.,No value available
2007-06-19,.,No value available
2007-06-20,.,No value available
2007-06-21,.,No value available
2007-06-22,.,No value available
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,.,No value available
2007-06-26,.,No value available
2007-06-27,.,No value available
2007-06-28,.,No value available
2007-06-29,551.154108,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,.,No value available
2007-07-03,.,No value available
2007-07-04,.,No value available
2007-07-05,.,No value available
2007-07-06,.,No value available
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,.,No value available
2007-07-10,.,No value available
2007-07-11,.,No value available
2007-07-12,.,No value available
2007-07-13,552.160333,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,.,No value available
2007-07-17,.,No value available
2007-07-18,.,No value available
2007-07-19,.,No value available
2007-07-20,.,No value available
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,.,No value available
2007-07-24,.,No value available
2007-07-25,.,No value available
2007-07-26,.,No value available
2007-07-27,.,No value available
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,.,No value available
2007-07-31,552.357144,
2007-08-01,.,No value available
2007-08-02,.,No value available
2007-08-03,.,No value available
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,.,No value available
2007-08-07,.,No value available
2007-08-08,.,No value available
2007-08-09,.,No value available
2007-08-10,.,No value available
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,.,No value available
2007-08-14,551.805036,
2007-08-15,.,No value available
2007-08-16,.,No value available
2007-08-17,.,No value available
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,.,No value available
2007-08-21,.,No value available
2007-08-22,.,No value available
2007-08-23,.,No value available
2007-08-24,.,No value available
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,.,No value available
2007-08-28,.,No value available
2007-08-29,.,No value available
2007-08-30,.,No value available
2007-08-31,551.143235,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,.,No value available
2007-09-04,.,No value available
2007-09-05,.,No value available
2007-09-06,.,No value available
2007-09-07,.,No value available
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,.,No value available
2007-09-11,.,No value available
2007-09-12,.,No value available
2007-09-13,.,No value available
2007-09-14,550.592339,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,.,No value available
2007-09-18,.,No value available
2007-09-19,.,No value available
2007-09-20,.,No value available
2007-09-21,.,No value available
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,.,No value available
2007-09-25,.,No value available
2007-09-26,.,No value available
2007-09-27,.,No value available
2007-09-28,550.041995,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,.,No value available
2007-10-02,.,No value available
2007-10-03,.,No value available
2007-10-04,.,No value available
2007-10-05,.,No value available
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,.,No value available
2007-10-09,.,No value available
2007-10-10,.,No value available
2007-10-11,.,No value available
2007-10-12,.,No value available
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,549.492200,
2007-10-16,.,No value available
2007-10-17,.,No value available
2007-10-18,.,No value available
2007-10-19,.,No value available
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,.,No value available
2007-10-23,.,No value available
2007-10-24,.,No value available
2007-10-25,.,No value available
2007-10-26,.,No value available
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,.,No value available
2007-10-30,.,No value available
2007-10-31,549.135137,
2007-11-01,.,No value available
2007-11-02,.,No value available
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,.,No value available
2007-11-06,.,No value available
2007-11-07,.,No value available
2007-11-08,.,No value available
2007-11-09,.,No value available
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,.,No value available
2007-11-13,.,No value available
2007-11-14,.,No value available
2007-11-15,548.833188,
2007-11-16,.,No value available
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,.,No value available
2007-11-20,.,No value available
2007-11-21,.,No value available
2007-11-22,.,No value available
2007-11-23,.,No value available
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,.,No value available
2007-11-27,.,No value available
2007-11-28,.,No value available
