"",BBK01.QU8746,BBK01.QU8746_FLAGS
2004-06,0.010,
2004-07,0.010,
2004-08,0.009,
2004-09,0.008,
2004-10,0.007,
2004-11,0.008,
2004-12,0.008,
2005-01,0.008,
2005-02,0.008,
2005-03,0.014,
2005-04,0.036,
2005-05,0.002,
2005-06,0.018,
2005-07,0.018,
2005-08,0.018,
2005-09,0.017,
2005-10,0.017,
2005-11,0.005,
2005-12,0.016,
2006-01,0.016,
2006-02,0.016,
2006-03,0.035,
2006-04,0.015,
2006-05,0.016,
2006-06,0.015,
2006-07,0.016,
2006-08,0.015,
2006-09,0.014,
2006-10,0.013,
2006-11,0.013,
2006-12,0.012,
2007-01,0.012,
2007-02,0.012,
2007-03,0.012,
2007-04,0.009,
2007-05,0.009,
2007-06,0.009,
2007-07,0.009,
2007-08,0.008,
2007-09,0.008,
2007-10,0.008,
2007-11,0.007,
2007-12,0.008,
2008-01,0.006,
2008-02,0.007,
2008-03,0.000,
2008-04,0.015,
2008-05,0.001,
2008-06,0.010,
2008-07,0.000,
2008-08,0.000,
2008-09,0.101,
2008-10,0.000,
2008-11,0.004,
2008-12,0.000,
2009-01,0.000,
2009-02,0.000,
2009-03,0.000,
2009-04,0.000,
2009-05,0.000,
2009-06,0.000,
2009-07,0.000,
2009-08,0.000,
2009-09,0.000,
2009-10,0.000,
2009-11,0.000,
2009-12,0.000,
2010-01,0.000,
2010-02,0.000,
2010-03,0.000,
2010-04,0.000,
2010-05,0.000,
2010-06,0.000,
2010-07,0.000,
2010-08,0.000,
2010-09,0.000,
2010-10,0.000,
2010-11,0.003,
2010-12,0.003,
2011-01,0.001,
2011-02,0.003,
2011-03,0.000,
2011-04,0.000,
2011-05,0.000,
2011-06,0.000,
2011-07,0.000,
2011-08,0.000,
2011-09,0.000,
2011-10,0.000,
2011-11,0.000,
2011-12,0.000,
2012-01,0.000,
2012-02,0.000,
2012-03,0.000,
2012-04,0.000,
2012-05,0.000,
2012-06,0.000,
2012-07,0.000,
2012-08,0.000,
2012-09,0.000,
2012-10,0.008,
2012-11,0.007,
2012-12,0.008,
2013-01,0.008,
2013-02,0.008,
2013-03,0.008,
2013-04,0.008,
2013-05,0.000,
2013-06,0.000,
2013-07,0.000,
2013-08,0.000,
2013-09,0.000,
2013-10,0.000,
2013-11,0.000,
2013-12,0.000,
2014-01,0.000,
2014-02,0.000,
2014-03,0.000,
2014-04,0.000,
2014-05,0.000,
2014-06,0.000,
2014-07,0.000,
2014-08,0.000,
2014-09,0.000,
2014-10,0.000,
2014-11,0.000,
